t,meanR,meanG,meanB,brightness,litFrac,motion
0.00,0.00,0.00,0.00,0.00,0.0000,0.00
0.12,0.03,0.20,0.49,0.19,0.0026,0.18
0.25,0.03,0.21,0.51,0.19,0.0027,0.01
0.38,0.03,0.21,0.52,0.19,0.0027,0.00
0.50,0.03,0.21,0.52,0.19,0.0027,0.00
0.62,0.03,0.22,0.53,0.20,0.0027,0.01
0.75,0.03,0.21,0.52,0.19,0.0027,0.01
0.88,0.03,0.21,0.51,0.19,0.0026,0.01
1.00,0.03,0.21,0.51,0.19,0.0026,0.01
1.12,0.03,0.21,0.51,0.19,0.0026,0.01
1.25,0.03,0.21,0.52,0.20,0.0027,0.01
1.38,0.03,0.21,0.52,0.19,0.0027,0.01
1.50,0.03,0.21,0.51,0.20,0.0027,0.01
1.62,0.03,0.21,0.51,0.19,0.0027,0.01
1.75,0.03,0.21,0.51,0.19,0.0027,0.01
1.88,0.03,0.21,0.51,0.20,0.0027,0.01
2.00,0.03,0.21,0.50,0.19,0.0026,0.01
2.12,0.03,0.21,0.51,0.19,0.0026,0.01
2.25,0.03,0.21,0.51,0.19,0.0027,0.01
2.38,0.03,0.21,0.50,0.19,0.0027,0.00
2.50,0.03,0.21,0.51,0.19,0.0027,0.00
2.62,0.03,0.21,0.52,0.20,0.0027,0.01
2.75,0.03,0.22,0.53,0.20,0.0027,0.01
2.88,0.03,0.22,0.53,0.20,0.0027,0.01
3.00,0.03,0.22,0.54,0.20,0.0027,0.01
3.12,0.03,0.21,0.53,0.20,0.0027,0.01
3.25,0.03,0.21,0.53,0.20,0.0027,0.00
3.38,0.03,0.21,0.53,0.20,0.0027,0.00
3.50,0.03,0.21,0.52,0.20,0.0027,0.00
3.62,0.03,0.21,0.52,0.19,0.0027,0.01
3.75,0.03,0.21,0.52,0.20,0.0027,0.01
3.88,0.03,0.21,0.51,0.19,0.0027,0.01
4.00,0.03,0.20,0.48,0.18,0.0026,0.01
4.12,0.03,0.19,0.46,0.18,0.0023,0.01
4.25,0.03,0.20,0.48,0.18,0.0026,0.01
4.38,0.04,0.21,0.51,0.20,0.0027,0.01
4.50,0.03,0.21,0.54,0.20,0.0027,0.01
4.62,0.03,0.22,0.54,0.20,0.0027,0.01
4.75,0.03,0.21,0.54,0.20,0.0027,0.01
4.88,0.03,0.22,0.54,0.20,0.0027,0.01
5.00,0.03,0.22,0.54,0.20,0.0027,0.01
5.12,0.03,0.22,0.54,0.20,0.0027,0.01
5.25,0.05,0.20,0.43,0.19,0.0027,0.02
