t,meanR,meanG,meanB,brightness,litFrac,motion
0.00,0.00,0.00,0.00,0.00,0.0000,0.00
0.12,0.03,0.26,0.63,0.23,0.0030,0.23
0.25,0.02,0.26,0.65,0.24,0.0031,0.01
0.38,0.02,0.26,0.65,0.24,0.0031,0.00
0.50,0.02,0.26,0.66,0.24,0.0031,0.00
0.62,0.02,0.26,0.66,0.24,0.0031,0.00
0.75,0.03,0.26,0.65,0.24,0.0032,0.00
0.88,0.03,0.26,0.65,0.24,0.0032,0.00
1.00,0.02,0.26,0.64,0.24,0.0032,0.01
1.12,0.02,0.26,0.64,0.23,0.0031,0.00
1.25,0.03,0.26,0.65,0.24,0.0032,0.01
1.38,0.03,0.26,0.65,0.24,0.0032,0.00
1.50,0.02,0.26,0.65,0.24,0.0031,0.00
1.62,0.02,0.26,0.64,0.24,0.0032,0.00
1.75,0.02,0.26,0.64,0.24,0.0031,0.00
1.88,0.02,0.26,0.64,0.23,0.0031,0.00
2.00,0.02,0.26,0.64,0.23,0.0032,0.00
2.12,0.02,0.26,0.64,0.23,0.0032,0.00
2.25,0.02,0.26,0.64,0.24,0.0032,0.00
2.38,0.02,0.26,0.64,0.24,0.0032,0.00
2.50,0.02,0.26,0.64,0.24,0.0032,0.00
2.62,0.02,0.26,0.65,0.24,0.0032,0.00
2.75,0.02,0.27,0.66,0.24,0.0032,0.00
2.88,0.02,0.27,0.67,0.24,0.0032,0.00
3.00,0.02,0.27,0.67,0.24,0.0032,0.00
3.12,0.02,0.26,0.67,0.24,0.0032,0.01
3.25,0.02,0.26,0.67,0.24,0.0032,0.00
3.38,0.02,0.26,0.67,0.24,0.0032,0.00
3.50,0.02,0.26,0.66,0.24,0.0032,0.00
3.62,0.02,0.26,0.65,0.24,0.0032,0.00
3.75,0.02,0.26,0.65,0.24,0.0032,0.00
3.88,0.03,0.26,0.64,0.24,0.0031,0.00
4.00,0.03,0.25,0.61,0.23,0.0029,0.01
4.12,0.03,0.24,0.57,0.22,0.0025,0.01
4.25,0.03,0.25,0.59,0.23,0.0028,0.01
4.38,0.03,0.26,0.64,0.24,0.0031,0.02
4.50,0.03,0.28,0.69,0.26,0.0032,0.01
4.62,0.04,0.33,0.79,0.30,0.0032,0.04
4.75,0.04,0.37,0.85,0.33,0.0032,0.04
4.88,0.05,0.40,0.95,0.37,0.0032,0.06
5.00,0.05,0.42,0.97,0.38,0.0032,0.05
5.12,0.05,0.41,0.97,0.38,0.0032,0.06
5.25,0.08,0.40,0.84,0.37,0.0030,0.07
5.38,0.08,0.37,0.79,0.34,0.0020,0.09
5.50,0.09,0.38,0.76,0.34,0.0020,0.07
5.62,0.09,0.41,0.84,0.37,0.0031,0.11
5.75,0.09,0.37,0.75,0.34,0.0028,0.09
5.88,0.08,0.34,0.69,0.31,0.0020,0.08
