t,meanR,meanG,meanB,brightness,litFrac,motion
0.00,0.00,0.00,0.00,0.00,0.0000,0.00
0.21,4.61,82.73,193.25,74.10,0.9981,73.80
0.42,4.04,83.39,196.15,74.66,0.9999,1.06
0.63,4.18,83.65,196.41,74.90,0.9999,0.47
0.83,5.26,83.67,194.97,75.04,0.9892,1.87
1.04,4.82,82.17,191.97,73.66,0.9715,2.49
1.25,5.40,83.72,194.75,75.09,0.9969,2.53
1.46,4.93,83.52,195.54,74.90,0.9974,1.09
1.67,4.87,82.94,194.21,74.38,0.9961,1.02
1.88,4.13,82.06,193.11,73.51,0.9938,0.96
2.09,4.62,82.67,193.78,74.10,0.9940,0.64
2.29,4.78,82.84,193.88,74.26,0.9945,0.73
2.50,4.24,83.06,194.57,74.35,0.9982,1.04
2.71,4.28,84.43,197.31,75.54,1.0000,1.27
2.92,4.07,84.87,198.05,75.86,1.0000,0.80
3.13,3.24,83.23,197.09,74.45,1.0000,1.43
3.34,4.24,83.33,196.12,74.66,0.9997,1.26
3.55,4.28,82.36,193.72,73.80,0.9868,1.04
3.75,4.45,82.08,192.22,73.53,0.9807,0.69
3.96,5.43,78.10,178.79,69.92,0.9180,4.36
4.17,6.50,75.67,170.68,67.82,0.8739,6.37
4.38,7.13,84.25,191.33,75.58,1.0000,7.82
4.59,4.10,84.04,198.67,75.32,1.0000,1.77
4.80,3.86,83.72,198.49,75.03,1.0000,0.47
5.00,3.34,83.31,198.27,74.61,1.0000,0.59
5.21,13.27,79.18,164.22,71.31,0.9999,3.65
5.42,11.71,68.51,137.12,61.39,0.6399,16.23
5.63,13.93,76.51,150.36,68.54,0.9660,25.90
5.84,13.28,58.78,114.61,53.14,0.6905,15.93
6.05,12.74,54.67,108.36,49.63,0.5218,8.51
6.26,11.80,57.19,113.49,51.61,0.5887,5.14
6.46,12.03,68.78,137.93,61.71,0.8985,10.89
6.67,10.83,72.00,147.48,64.44,0.8707,13.75
6.88,9.83,74.56,156.57,66.72,0.9513,7.82
7.09,7.59,76.87,170.50,68.91,0.9424,7.32
7.30,7.93,76.83,170.69,68.96,0.9319,1.55
7.51,8.21,78.36,173.44,70.31,0.9549,1.49
